Series Name,Series Code,Country Name,Country Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Albania,ALB,2.28001916938099,2.36658195679796,2.37072831904283,2.93268248162319,3.32087090389268,2.2669220945083,3.62604695579817,3.42912324722164,2.03159268395298,1.93762080205227,1.62586504402607,3.50120835492656,-0.367317209784628,2.0605984592022,2.02805963071136,1.41109078954248
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belgium,BEL,2.09728311239314,2.78143263670025,1.79120770070454,1.8230563002681,4.48944420508401,-0.0531456741253762,2.18929920422458,3.53208210722744,2.83966343445897,1.11309594027537,0.340002833356965,0.561429152790106,1.97385264653172,2.12597086002609,2.05316499865181,1.43681956996435
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bulgaria,BGR,6.1471307424627,5.03883807111907,7.26159462769947,8.40253419005894,12.3487195994021,2.75320223914816,2.43899060504117,4.21990346601875,2.95456829831017,0.890093540913032,-1.41818380264842,-0.104633261008417,-0.798649886453611,2.06159619443137,2.81454473824833,3.10372944796774
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Czechia,CZE,2.76010781671159,1.85709789109223,2.53399258343632,2.85312437211172,6.35866380152374,1.0193773532923,1.47272727272729,1.91721913635547,3.28762306610408,1.43829787234043,0.343988589646784,0.309364548494974,0.683504209385683,2.45053398460138,2.14949494949492,2.84787595918047
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Estonia,EST,3.04811107523412,4.07971423199846,4.43762042389211,6.60132603055634,10.3623580313683,-0.0784083112810205,2.97204512015696,4.9819013145361,3.93339987296979,2.78056658954996,-0.106175146521716,-0.492326006547338,0.148684907627356,3.41723549488057,3.43632688420445,2.27725931243518
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Spain,ESP,3.03924881090927,3.36881409750382,3.51557576832125,2.78679745804947,4.07534335957341,-0.287813083535237,1.79986457728766,3.19610188833788,2.44612782366812,1.40858109183012,-0.151114837527181,-0.500365709903282,-0.202598000426425,1.95607633363964,1.67498136863794,0.699518994458693
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,France,FRA,2.14208964640242,1.74586936380481,1.67512449608728,1.48799805953858,2.81286194914787,0.0876204781574529,1.53112270420924,2.11159795174997,1.95419531613507,0.863715497861826,0.507758822937957,0.0375143805125363,0.183334861123848,1.03228275064674,1.85081508315494,1.10825492288292
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Hungary,HUN,6.74434679569463,3.56151711378355,3.93032603841,7.95874516544909,6.0425125388106,4.21171171171172,4.85555795691951,3.92992098935075,5.65214517088651,1.73319984983107,-0.227566270988384,-0.0616446800641176,0.394769306686402,2.34824281150159,2.85024792594642,3.3385863538201
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Lithuania,LTU,1.16410252104669,2.65848484065266,3.73912004060656,5.73717382799847,10.9258856241655,4.4530445651853,1.31921362055463,4.13027562645087,3.08998277055416,1.04747937065349,0.103758009433715,-0.884097405500613,0.905525075460439,3.72288862303693,2.69792779208397,2.33450937988024
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Luxembourg,LUX,2.22567916428892,2.48769665164086,2.66631494577072,2.31245861786128,3.40187963025566,0.368041997888919,2.27367911621542,3.4106834106834,2.66284165508017,1.73403963519166,0.628543985440705,0.4747431614378,0.290833333333306,1.73079959118897,1.52819524307373,1.74332075653843
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Latvia,LVA,6.19238547197433,6.74845027893117,6.53619908765875,10.0929775849168,15.4023191064986,3.53410672858941,-1.08463595015159,4.37073559939221,2.25778924374594,-0.0294547782578977,0.620490636732377,0.174242243625214,0.140633334505292,2.93036312374664,2.53445424186602,2.81140920075622
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Malta,MLT,2.79082848067755,3.00796652450315,2.77378006481472,1.24921923797625,4.25862171897076,2.08432746082342,1.51563513618533,2.96298528192878,2.37582057760382,1.18028436366548,0.310306472181729,1.1005482637893,0.642702771527276,1.3643544815071,1.15782362451512,1.64206001768947
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Netherlands,NLD,1.26364739183177,1.68813017869622,1.10150106517704,1.61385859802103,2.48650198289454,1.18977687021549,1.27530569556686,2.3410701775137,2.45554765291609,2.50689852657884,0.976035079699661,0.600248147278775,0.316666666666663,1.3814587140721,1.70349794744475,2.63369910249593
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Poland,POL,3.38264681884694,2.18379872390258,1.28469394366409,2.45874312385397,4.1649719352477,3.79539242483406,2.58069370250546,4.23940149625935,3.56037151702788,0.99198260633235,0.0538213132400467,-0.874125874125849,-0.664767331434023,2.07593553673862,1.81295156542681,2.227478809383
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Portugal,PRT,2.365362040973,2.27716394887833,3.10766545871054,2.45396528138739,2.58850657657964,-0.83553002150417,1.40257289895371,3.65301100430729,2.77333854051579,0.27441666666668,-0.278153367467421,0.487938623904736,0.607397074641661,1.36861411643481,0.99371568346825,0.338178410046125
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Romania,ROU,11.8743635936399,9.01491283343835,6.55851412276983,4.83732928313989,7.85080255714483,5.58742004264392,6.09141668601892,5.78925328815882,3.33492267693443,3.98471235548128,1.06830987684293,-0.594156437495137,-1.54479666813904,1.33902121104396,4.62548443137781,3.82785432599428
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Serbia,SRB,11.0263627183464,16.1199806482826,11.7240229980834,6.3917064439141,12.410986775178,8.1169509223808,6.14255360247246,11.1373976342129,7.33038589596636,7.69426362896666,2.08244793880151,1.39235822000187,1.12231397417765,3.13106248590119,1.95984076293803,1.8492298451109
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Slovenia,SVN,3.59297594249513,2.45150132316474,2.45792444195864,3.65749563284104,5.64742380573934,0.83926224679384,1.80117022137136,1.80285171941907,2.5974138603901,1.76920085881896,0.199343826570849,-0.525552285820838,-0.0549995416704911,1.42910743319297,1.73860861988181,1.63052260754338
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Slovak Republic,SVK,7.54850088183419,2.70908494588391,4.48333120449611,2.75672371638138,4.59817976325028,1.61510464058236,0.957018132975136,3.91928599146294,3.60610263522886,1.40047368963031,-0.0761653295419824,-0.325219777427739,-0.520010196278324,1.31194588223234,2.51403712883808,2.66456133425443
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Turkiye,TUR,8.59826168115267,8.17916036802001,9.59724212288445,8.75618090972635,10.4441283764885,6.25097663090625,8.56644420552977,6.47187967115097,8.89156996512164,7.49309030547697,8.85457271364318,7.6708536484588,7.77513415328334,11.1443110840764,16.3324638988929,15.1768215720023
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,United Kingdom,GBR,1.39039756680426,2.08913649025072,2.45566166439288,2.38656150773328,3.52140856342537,1.96173173560107,2.49265472467065,3.85611244682819,2.57323479654528,2.29166666666666,1.45112016293279,0.368046842325369,1.00841736811403,2.55775577557754,2.29283990345939,1.73810460086511
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Greece,GRC,2.89884810758168,3.54507273335083,3.19594684144545,2.89500321516574,4.15279708110295,1.2100726919781,4.71298907760393,3.3298532335065,1.50152696177748,-0.921269454256898,-1.31226096405516,-1.73588804765278,-0.825653978391008,1.12125452031427,0.625621413453588,0.25300752203812
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Ireland,IRL,2.19962850718543,2.42969198392961,3.93163989540532,4.89711564381346,4.06030495117353,-4.47810339150477,-0.922095829024469,2.5571888318692,1.69620897294545,0.508714869485436,0.182542316627949,-0.289879079012739,0.00830633773569926,0.340531561461793,0.488370168032449,0.939044481054341
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,
Last Updated: 09/16/2022,,,,,,,,,,,,,,,,,,,
